100,,,100
99,,,99
43,56,,49.5
43,55,,49
42,54,1,32.33333333
42,53,2,32.33333333
42,52,3,32.33333333
42,50,5,32.33333333
42,49,6,32.33333333
42,48,7,32.33333333
42,46,9,32.33333333
42,45,10,32.33333333
42,44,11,32.33333333
42,43,12,32.33333333
42,15,40,32.33333333
42,16,39,32.33333333
42,17,38,32.33333333
42,18,37,32.33333333
42,19,36,32.33333333
42,55,,48.5
97,,,97
96,1,,48.5
94,3,,48.5
93,4,,48.5
92,5,,48.5
91,6,,48.5
89,8,,48.5
84,13,,48.5
87,10,,48.5
88,9,,48.5
96,,,96
95,1,,48
83,12,1,32
95,1,,48
96,,,96
94,1,,47.5
3,92,,47.5
4,91,,47.5
7,88,,47.5
8,87,,47.5
11,84,,47.5
13,82,,47.5
14,81,,47.5
17,78,,47.5
19,76,,47.5
20,75,,47.5
22,73,,47.5
23,72,,47.5
24,71,,47.5
25,70,,47.5
26,69,,47.5
27,68,,47.5
28,67,,47.5
29,66,,47.5
30,65,,47.5
31,64,,47.5
95,,,95
94,1,,47.5
92,3,,47.5
93,2,,47.5
92,2,1,31.66666667
93,1,1,31.66666667
89,1,4,31.33333333
88,5,1,31.33333333
85,8,1,31.33333333
84,9,1,31.33333333
83,10,1,31.33333333
81,12,1,31.33333333
80,13,1,31.33333333
79,14,1,31.33333333
78,15,1,31.33333333
77,16,1,31.33333333
78,15,1,31.33333333
77,16,1,31.33333333
93,1,,47
92,1,,46.5
93,,,
,,avg,45.4254386
,,stdv,17.06411428
