100,,,,100
99,1,,,50
98,2,,,50
97,3,,,50
37,3,60,,33.33333333
100,,,,100
99,1,,,50
97,3,,,50
96,3,1,,33.33333333
96,4,,,50
95,5,,,50
94,6,,,50
93,7,,,50
92,8,,,50
99,1,,,50
98,2,,,50
97,3,,,50
91,9,,,50
90,10,,,50
89,11,,,50
89,10,,,49.5
99,,,,99
98,1,,,49.5
99,,,,99
98,1,,,49.5
97,2,,,49.5
96,3,,,49.5
98,1,,,49.5
97,2,,,49.5
96,3,,,49.5
95,4,,,49.5
94,5,,,49.5
93,6,,,49.5
90,9,,,49.5
89,10,,,49.5
92,7,,,49.5
94,5,,,49.5
95,4,,,49.5
93,6,,,49.5
91,8,,,49.5
90,9,,,49.5
93,6,,,49.5
94,5,,,49.5
93,6,,,49.5
93,6,,,49.5
92,7,,,49.5
90,9,,,49.5
92,7,,,49.5
94,5,,,49.5
92,3,4,,33
93,2,4,,33
91,4,4,,33
92,3,4,,33
93,2,4,,33
94,1,4,,33
92,4,3,,33
89,4,4,2,24.75
89,2,4,4,24.75
89,5,4,1,24.75
89,3,3,4,24.75
89,4,2,4,24.75
89,2,4,4,24.75
93,3,3,,33
93,2,4,,33
93,3,3,,33
93,4,2,,33
93,4,2,,33
93,3,3,,33
93,3,3,,33
93,4,2,,33
93,5,1,,33
93,5,1,,33
93,4,2,,33
93,4,2,,33
93,4,2,,33
93,3,3,,33
93,4,2,,33
97,2,,,49.5
98,1,,,49.5
96,3,,,49.5
98,1,,,49.5
92,7,,,49.5
91,8,,,49.5
88,11,,,49.5
87,12,,,49.5
86,13,,,49.5
84,15,,,49.5
83,16,,,49.5
81,18,,,49.5
79,20,,,49.5
77,22,,,49.5
76,23,,,49.5
73,26,,,49.5
72,27,,,49.5
70,29,,,49.5
69,30,,,49.5
68,31,,,49.5
67,32,,,49.5
64,35,,,49.5
37,62,,,49.5
38,61,,,49.5
39,60,,,49.5
43,56,,,49.5
47,52,,,49.5
49,50,,,49.5
51,48,,,49.5
52,47,,,49.5
53,46,,,49.5
55,44,,,49.5
58,41,,,49.5
60,39,,,49.5
61,38,,,49.5
65,34,,,49.5
67,32,,,49.5
68,31,,,49.5
69,30,,,49.5
70,29,,,49.5
71,28,,,49.5
72,27,,,49.5
99,,,,99
97,2,,,49.5
95,4,,,49.5
92,7,,,49.5
90,9,,,49.5
89,10,,,49.5
88,11,,,49.5
86,13,,,49.5
85,14,,,49.5
84,15,,,49.5
83,16,,,49.5
82,17,,,49.5
81,18,,,49.5
78,21,,,49.5
77,22,,,49.5
76,23,,,49.5
75,24,,,49.5
74,25,,,49.5
72,27,,,49.5
71,28,,,49.5
99,,,,99
94,5,,,49.5
92,7,,,49.5
87,12,,,49.5
83,16,,,49.5
82,17,,,49.5
80,19,,,49.5
79,20,,,49.5
78,21,,,49.5
77,22,,,49.5
75,24,,,49.5
74,25,,,49.5
72,27,,,49.5
96,1,,,48.5
95,2,,,48.5
94,3,,,48.5
93,4,,,48.5
92,5,,,48.5
90,7,,,48.5
91,6,,,48.5
90,5,2,,32.33333333
89,5,3,,32.33333333
89,5,1,2,24.25
90,5,1,1,24.25
88,5,1,3,24.25
89,5,3,,32.33333333
90,5,2,,32.33333333
92,5,,,48.5
91,5,1,,32.33333333
89,6,2,,32.33333333
88,6,3,,32.33333333
88,6,3,,32.33333333
90,5,2,,32.33333333
89,5,1,2,24.25
89,5,3,,32.33333333
90,5,1,1,24.25
88,5,4,,32.33333333
90,5,2,,32.33333333
91,5,1,,32.33333333
90,5,1,1,24.25
91,5,1,,32.33333333
89,5,3,,32.33333333
90,5,2,,32.33333333
89,5,1,2,24.25
,,,,45.69535519
